Hall,Head,BTHotspot,WIFI5Ghz,HotspotVoice,Cell,IMU,BDR_Single_Chain_0,EDR_Single_Chain_0,BLE_Single_Chain_0,BDR_Single_Chain_1,EDR_Single_Chain_1,BLE_Single_Chain_1,BDR_Dual_Chain_0,EDR_Dual_Chain_0,BLE_Dual_Chain_0,BDR_Dual_Chain_1,EDR_Dual_Chain_1,BLE_Dual_Chain_1
on,on,off,on,off,off,any,78,68,78,50,50,50,50,50,50,50,50,50
on,on,off,on,off,on,any,78,68,78,50,50,50,50,50,50,50,50,50
on,on,off,on,on,off,any,78,68,78,50,50,50,50,50,50,50,50,50
on,on,off,on,on,on,any,78,68,78,50,50,50,50,50,50,50,50,50
on,on,on,off,off,off,any,78,68,78,50,50,50,50,50,50,50,50,50
on,on,on,off,off,on,any,78,68,78,50,50,50,50,50,50,50,50,50
on,on,on,off,on,off,any,78,68,78,50,50,50,50,50,50,50,50,50
on,on,on,off,on,on,any,78,68,78,50,50,50,50,50,50,50,50,50
on,on,on,on,off,off,any,78,68,78,50,50,50,50,50,50,50,50,50
on,on,on,on,off,on,any,78,68,78,50,50,50,50,50,50,50,50,50
on,on,on,on,on,off,any,78,68,78,50,50,50,50,50,50,50,50,50
on,on,on,on,on,on,any,78,68,78,50,50,50,50,50,50,50,50,50
on,off,off,any,off,any,off,78,68,78,78,68,78,66,56,66,66,56,66
on,off,on,any,off,any,off,78,68,78,62,62,62,62,56,62,62,56,62
on,off,off,any,on,any,off,78,68,78,62,62,62,62,56,62,62,56,62
